Id,DateCreated,DateUpdated,DateClosed,RequestType,ImageUrl,Address,AdditionalData,Status,InitialBoundaryName,AssignedTo,VendorTicketId,Location,New Georeferenced Column,Device type
2335952,10/17/2021 01:52:27 PM,10/19/2021 10:37:18 AM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2335952&imagesize=,"370 W 900 S, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,In Process,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Ball Park",Dillon Hase,,"370 W 900 S, Salt Lake City, UT 84101","(40.7502662, -111.9024311)",Apple
2100224,06/17/2021 04:35:38 PM,06/29/2021 12:15:56 PM,06/29/2021 12:14:40 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2100224&imagesize=,"2234 Highland Dr, Salt Lake City, UT 84106",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 7;Sugar House",Dillon Hase,,"2234 Highland Dr, Salt Lake City, UT 84106","(40.7220928, -111.8589546)",Android
2215538,08/15/2021 06:29:30 PM,10/08/2021 01:07:24 PM,10/08/2021 01:06:22 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2215538&imagesize=,"140 Lucy Ave, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"140 Lucy Ave, Salt Lake City, UT 84101","(40.743042, -111.8952153)",Android
2296612,09/24/2021 01:59:38 PM,10/15/2021 11:31:33 AM,10/15/2021 11:30:20 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2296612&imagesize=,"1002 State St, Salt Lake City, UT 84111",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"1002 State St, Salt Lake City, UT 84111","(40.7471716, -111.8882525)",Html5
2342384,10/20/2021 01:13:15 PM,10/21/2021 09:24:29 AM,10/21/2021 09:23:14 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2342384&imagesize=,"509 W 300 N, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Duplicate,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 3;Fairpark",Unassigned,,"509 W 300 N, Salt Lake City, UT 84116","(40.7751851, -111.9054213)",Apple
1985038,04/23/2021 11:01:34 AM,05/10/2021 07:50:25 PM,05/10/2021 07:49:16 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=1985038&imagesize=,"155 Mead Ave S, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"155 Mead Ave S, Salt Lake City, UT 84101","(40.7474519, -111.8958288)",Apple
2177310,07/28/2021 08:55:44 AM,09/09/2021 07:27:16 PM,09/09/2021 07:26:15 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2177310&imagesize=,"745 S 200 E, Salt Lake City, UT 84111",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Central City",Dillon Hase,,"745 S 200 E, Salt Lake City, UT 84111","(40.753228, -111.884922)",Apple
2279846,09/15/2021 08:48:43 PM,10/08/2021 01:46:03 PM,10/08/2021 01:44:56 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2279846&imagesize=,"1141 S 3200 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1141 S 3200 W, Salt Lake City, UT 84104","(40.744408, -111.9677103)",Html5
2117377,06/27/2021 11:32:49 AM,07/09/2021 01:55:20 PM,07/09/2021 01:54:18 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2117377&imagesize=,"1668 Eisenhower Way, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"1668 Eisenhower Way, Salt Lake City, UT 84104","(40.7641575, -111.9390182)",Apple
2039878,05/20/2021 08:20:40 AM,06/07/2021 01:06:57 PM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2039878&imagesize=,"913 500 W, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"913 500 W, Salt Lake City, UT 84101","(40.7497512, -111.9051452)",Android
2275120,09/14/2021 05:15:14 AM,10/08/2021 01:42:59 PM,10/08/2021 01:41:56 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2275120&imagesize=,"1842 S 1045 W, Salt Lake City, UT 84119",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1842 S 1045 W, Salt Lake City, UT 84119","(40.7308604, -111.9250359)",Apple
2317787,10/06/2021 01:43:46 PM,10/08/2021 09:27:14 AM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2317787&imagesize=,"200 S / 200 E (WB), Salt Lake City, UT 84111",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,In Process,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Central City",Dillon Hase,,"200 S / 200 E (WB), Salt Lake City, UT 84111","(40.7651866, -111.8852825)",Android
2199701,08/08/2021 10:49:17 AM,10/08/2021 01:03:16 PM,10/08/2021 01:02:07 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2199701&imagesize=,"707 S 400 E, Salt Lake City, UT 84111",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Central City",Dillon Hase,,"707 S 400 E, Salt Lake City, UT 84111","(40.7536657, -111.8795031)",Html5
2138365,07/08/2021 07:31:15 AM,07/28/2021 02:55:23 PM,07/28/2021 02:54:11 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2138365&imagesize=,"1133 California Ave, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1133 California Ave, Salt Lake City, UT 84104","(40.7403587, -111.9233249)",Apple
2303397,09/28/2021 08:46:55 PM,10/29/2021 09:43:17 AM,10/29/2021 09:42:01 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2303397&imagesize=,"1734 S W Temple, Salt Lake City, UT 84115",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"1734 S W Temple, Salt Lake City, UT 84115","(40.7326659, -111.8942372)",Apple
2323761,10/10/2021 11:52:47 AM,10/13/2021 05:34:06 PM,,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2323761&imagesize=,"35 S 800 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,In Process,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"35 S 800 W, Salt Lake City, UT 84104","(40.7683015, -111.9128156)",Android
2289830,09/21/2021 02:25:49 PM,10/15/2021 11:21:36 AM,10/15/2021 11:20:32 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2289830&imagesize=,"252 W 500 S, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 3;Fairpark",Dillon Hase,,"252 W 500 S, Salt Lake City, UT 84116","(40.7749786, -111.9054316)",Apple
2213097,08/13/2021 12:38:43 PM,10/08/2021 01:06:37 PM,10/08/2021 01:05:27 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2213097&imagesize=,"3075 Decade Dr, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"3075 Decade Dr, Salt Lake City, UT 84104","(40.7339829, -111.9652051)",Android
2337731,10/18/2021 01:09:43 PM,10/19/2021 10:43:19 AM,10/19/2021 10:42:17 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2337731&imagesize=,"Unnamed Road, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Duplicate,"Salt Lake City, UT;Salt Lake City, UT (Water);Salt Lake City, UT (Parks);Council District 1;Jordan Meadows",Dillon Hase,,"Unnamed Road, Salt Lake City, UT 84116","(40.7775497, -111.9354961)",Apple
2047903,05/24/2021 04:41:37 PM,06/07/2021 01:40:30 PM,06/07/2021 01:39:29 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2047903&imagesize=,"1630 500 N, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 1;Fairpark",Dillon Hase,,"1630 500 N, Salt Lake City, UT 84116","(40.7808621, -111.9375887)",Apple
2267553,09/09/2021 12:52:29 PM,10/08/2021 01:34:47 PM,10/08/2021 01:33:35 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2267553&imagesize=,"680 E, Salt Lake City, UT 84105",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Salt Lake City, UT (Parks);Council District 5;Central City/Liberty-Wells",Dillon Hase,,"680 E, Salt Lake City, UT 84105","(40.7472504, -111.8719749)",Apple
2199927,08/08/2021 04:00:33 PM,10/08/2021 01:03:01 PM,10/08/2021 01:01:58 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2199927&imagesize=,"1320 W 280 N, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 1;Fairpark",Dillon Hase,,"1320 W 280 N, Salt Lake City, UT 84116","(40.7751787, -111.9299745)",Android
2314901,10/05/2021 11:34:19 AM,10/12/2021 12:06:10 PM,10/12/2021 12:04:55 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2314901&imagesize=,"1544 S 1200 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1544 S 1200 W, Salt Lake City, UT 84104","(40.7359612, -111.9250221)",Apple
2188284,08/02/2021 07:16:45 PM,08/03/2021 11:13:54 AM,08/03/2021 11:12:42 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2188284&imagesize=,"1224 W 14th S, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Duplicate,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1224 W 14th S, Salt Lake City, UT 84104","(40.7387605, -111.9270844)",Apple
2084847,06/10/2021 03:26:59 PM,06/29/2021 11:36:19 AM,06/29/2021 11:35:19 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2084847&imagesize=,"442 1300 S, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"442 1300 S, Salt Lake City, UT 84101","(40.7416844, -111.904505)",Apple
2091068,06/14/2021 11:51:21 AM,06/29/2021 11:54:36 AM,06/29/2021 11:53:28 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2091068&imagesize=,"920 500 W, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"920 500 W, Salt Lake City, UT 84101","(40.7486287, -111.9076447)",Android
2105351,06/21/2021 12:10:56 PM,07/02/2021 03:54:44 PM,07/02/2021 03:53:44 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2105351&imagesize=,"140 W Lucy Ave, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"140 W Lucy Ave, Salt Lake City, UT 84101","(40.7432552, -111.8952052)",Apple
2164801,07/21/2021 02:40:18 PM,07/22/2021 02:00:29 PM,07/22/2021 01:59:23 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2164801&imagesize=,"455 S 1250 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"455 S 1250 W, Salt Lake City, UT 84104","(40.7592367, -111.9270265)",Html5
2310265,10/02/2021 12:55:43 PM,10/07/2021 09:51:09 AM,10/07/2021 09:49:58 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2310265&imagesize=,"369 S 900 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Poplar Grove",Dillon Hase,,"369 S 900 W, Salt Lake City, UT 84104","(40.760876, -111.9166139)",Apple
2226264,08/19/2021 04:56:20 PM,10/08/2021 01:10:46 PM,10/08/2021 01:09:40 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2226264&imagesize=,"1316 1700 S, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1316 1700 S, Salt Lake City, UT 84104","(40.7332059, -111.9288815)",Android
2184314,07/30/2021 10:21:38 PM,09/27/2021 05:02:44 PM,09/27/2021 05:01:34 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2184314&imagesize=,"2100 S @ 284 E, South Salt Lake, UT 84115",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Liberty-Wells",Dillon Hase,,"2100 S @ 284 E, South Salt Lake, UT 84115","(40.7254416, -111.8826735)",Html5
2087284,06/11/2021 02:26:25 PM,06/29/2021 11:45:26 AM,06/29/2021 11:44:16 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2087284&imagesize=,"507 W 500 S, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Downtown",Dillon Hase,,"507 W 500 S, Salt Lake City, UT 84101","(40.7584551, -111.9075014)",Apple
2246535,08/30/2021 11:03:07 AM,10/08/2021 01:21:01 PM,10/08/2021 01:19:48 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2246535&imagesize=,"1330 State St, Salt Lake City, UT 84115",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"1330 State St, Salt Lake City, UT 84115","(40.7409134, -111.8886157)",Android
2291020,09/22/2021 08:54:10 AM,10/15/2021 11:21:20 AM,10/15/2021 11:20:12 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2291020&imagesize=,"200 Mead Ave S, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"200 Mead Ave S, Salt Lake City, UT 84101","(40.7472728, -111.8964834)",Apple
2237758,08/25/2021 01:11:55 PM,10/08/2021 01:15:55 PM,10/08/2021 01:14:46 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2237758&imagesize=,"1770 S 1045 W, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"1770 S 1045 W, Salt Lake City, UT 84104","(40.7310832, -111.9243534)",Apple
2242611,08/27/2021 10:46:34 AM,08/31/2021 10:16:59 AM,08/31/2021 10:15:52 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2242611&imagesize=,"968 Quayle Ave, Salt Lake City, UT 84104",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 2;Glendale",Dillon Hase,,"968 Quayle Ave, Salt Lake City, UT 84104","(40.7322589, -111.9186473)",Html5
2311155,10/03/2021 07:19:42 PM,10/21/2021 12:37:07 PM,10/21/2021 12:35:54 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2311155&imagesize=,"Elizabeth Sherman Park, 2410 Highland Dr, Salt Lake City, UT 84106",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Salt Lake City, UT (Parks);Council District 7;Sugar House",Dillon Hase,,"Elizabeth Sherman Park, 2410 Highland Dr, Salt Lake City, UT 84106","(40.7185811, -111.8579421)",Android
1991807,04/27/2021 08:32:34 PM,05/11/2021 01:36:06 PM,05/11/2021 01:34:59 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=1991807&imagesize=,"965 UT-71, Salt Lake City, UT 84105",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;East Liberty Park",Dillon Hase,,"965 UT-71, Salt Lake City, UT 84105","(40.7481083, -111.8708811)",Apple
2233733,08/24/2021 08:18:18 AM,10/08/2021 01:14:08 PM,10/08/2021 01:13:01 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2233733&imagesize=,"1084 S W Temple, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Salt Lake City, UT (Parks);Council District 5;Ball Park",Dillon Hase,,"1084 S W Temple, Salt Lake City, UT 84101","(40.7448424, -111.8942852)",Apple
2028000,05/15/2021 03:51:58 PM,06/07/2021 12:36:01 PM,06/07/2021 12:35:00 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2028000&imagesize=,"2609 S 1800 E, Salt Lake City, UT 84106",Select a Report Type=Concern Regarding Homelessness|Issue Type=Other,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 7;Sugar House",Dillon Hase,,"2609 S 1800 E, Salt Lake City, UT 84106","(40.7150577, -111.8399191)",Html5
1985713,04/23/2021 03:16:35 PM,05/10/2021 07:51:25 PM,05/10/2021 07:50:18 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=1985713&imagesize=,"485 300 N, Salt Lake City, UT 84103",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 3;Capitol Hill",Dillon Hase,,"485 300 N, Salt Lake City, UT 84103","(40.7761355, -111.9043136)",Apple
2307561,09/30/2021 03:37:04 PM,10/29/2021 09:45:05 AM,10/29/2021 09:43:55 AM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2307561&imagesize=,"143 W 800 S, Salt Lake City, UT 84101",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 4;Ball Park",Dillon Hase,,"143 W 800 S, Salt Lake City, UT 84101","(40.7516668, -111.8950315)",Apple
1994724,04/29/2021 09:05:56 AM,05/14/2021 12:52:37 PM,05/14/2021 12:51:28 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=1994724&imagesize=,"450 N Redwood Rd, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 1;Jordan Meadows",Dillon Hase,,"450 N Redwood Rd, Salt Lake City, UT 84116","(40.781198, -111.9382907)",Apple
2285183,09/19/2021 02:56:09 PM,10/08/2021 01:55:56 PM,10/08/2021 01:54:48 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2285183&imagesize=,"121 1700 S, Salt Lake City, UT 84115",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 5;Ball Park",Dillon Hase,,"121 1700 S, Salt Lake City, UT 84115","(40.733244, -111.8947508)",Android
2053042,05/26/2021 02:13:48 PM,06/08/2021 01:23:05 PM,06/08/2021 01:21:56 PM,Concern Regarding Homelessness,https://api.citysourced.com/reportimage.ashx?reportid=2053042&imagesize=,"1620 W 500 N, Salt Lake City, UT 84116",Select a Report Type=Concern Regarding Homelessness|Issue Type=Camp,Closed,"Salt Lake City, UT;Salt Lake City, UT (Water);Council District 1;Fairpark",Dillon Hase,,"1620 W 500 N, Salt Lake City, UT 84116","(40.7808481, -111.9372079)",Android
